year_reference;code_agglo;nom_agglo;commune_principale;code_insee_commune_principale;etat_agglo;taille_agglo_eh;tranche_obligation;maximum_pollutions_entrantes_eh;somme_capacites_nominales_eh;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_temps_sec;conformite_globale_agglo;date_mise_a_jour_agglo;type_reseau_majoritaire;source_file
2022;080000197212;GROS-MORNEBOURG;Gros-Morne;97212;En activité;527.0;"] 200 ; 2 000 [ EH";527.0;1500.0;Non;Non;N/A;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000397212;GROS-MORNE-COLLEGE;Gros-Morne;97212;En activité;200.0;"] 200 ; 2 000 [ EH";200.0;260.0;Non;Non;N/A;Non;2024-12-06;Unitaire;export-as-telechargement(2).csv
2022;080000297201;L'Ajoupa-Bouillon;L'Ajoupa-Bouillon;97201;En activité;2640.0;"[ 2 000 ; 10 000 [ EH";2640.0;850.0;Oui;Oui;Oui;Oui;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000597230;LATRINITE-BELLEVUE;La Trinité;97230;En activité;160.0;"] 200 ; 2 000 [ EH";160.0;700.0;Oui;Oui;N/A;Oui;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000297230;La TrinitéTARTANE;La Trinité;97230;En activité;2699.0;"[ 2 000 ; 10 000 [ EH";2699.0;2100.0;Non;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000297210;Le François - BONNY CHOPOTTE;Le François;97210;En activité;6.0;"] 200 ; 2 000 [ EH";6.0;250.0;Oui;Non;N/A;Non;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000397210;Le François- CHOPOTTE;Le François;97210;En activité;150.0;Taille ≤ 200 EH;150.0;150.0;Oui;Non;N/A;Non;2024-12-19;Unitaire;export-as-telechargement(2).csv
2022;080000997213;Le Lamentin - CLUB NAUTIQUE;Le Lamentin;97213;En activité;0.0;Taille ≤ 200 EH;0.0;120.0;Non;Non;N/A;Non;2024-12-19;Séparatif;export-as-telechargement(2).csv
2022;080000197213;Le Lamentin - GAIGNERON;Le Lamentin;97213;En activité;30333.0;"[ 10 000 ; 100 000 [ E";30333.0;35000.0;Oui;N/A;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000497213;Le Lamentin - LYCEE CROIX-RIVAIL;Le Lamentin;97213;En activité;200.0;"] 200 ; 2 000 [ EH";200.0;400.0;Non;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000397213;Le Lamentin - PELLETIER DESIRADE;Le Lamentin;97213;En activité;1350.0;"[ 2 000 ; 10 000 [ EH";1350.0;3500.0;Non;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000697213;Le Lamentin- RESIDENCE SOROCA;Le Lamentin;97213;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;250.0;Non;Non;N/A;Non;2024-12-06;Unitaire;export-as-telechargement(2).csv
2022;080000597213;Le Lamentin - ROCHES CARREES CACEM;Le Lamentin;97213;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;500.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000797213;LELAMENTIN-SARRAULT;Le Lamentin;97213;En activité;6.0;Taille ≤ 200 EH;6.0;150.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000897213;Le Lamentin ZI JAMBETTE;Le Lamentin;97213;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;500.0;Non;Non;N/A;Non;2024-12-06;Unitaire;export-as-telechargement(2).csv
2022;080000197216;Le Marigot;Le Marigot;97216;En activité;1899.0;"[ 2 000 ; 10 000 [ EH";1899.0;1800.0;Oui;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000197217;Le Marin - DUPREY;Le Marin;97217;En activité;12045.0;"[ 10 000 ; 100 000 [ E";12045.0;250.0;Oui;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
