annee_reference;code_ouvrage;nom_ouvrage;departement;code_insee;commune;volume_m3;code_usage_bnpe;libelle_usage_bnpe;code_usage_declare;usage_declare;type_eau;longitude;latitude;precision_localisation;mode_obtention_volume;statut_volume;qualification_volume;code_bss;code_zone_hydro;nom_zone_hydro;code_entite_hydro_cours_eau;code_entite_hydro_plan_eau;code_bdlisa;libelle_bdlisa;date_debut_exploitation;date_fin_exploitation;source_file
2023;OPR0000276763;N°20 Retenue Rivière Lorrain - Habitation ASSIER;972;97214;LORRAIN;18040;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929099287413;0.00013378255064876803;1;MES;Contrôlé Niveau 1;Correcte;;2207;;22071200;;;;;;prelevements.csv
2023;OPR0000276818;Rivière Lézarde;972;97214;LORRAIN;17679;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929028981709;0.00013213736375475939;1;EST;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
2023;OPR0000604674;Rivière de Sainte Marie - 3 Mornes;972;97228;SAINTE-MARIE;15734;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929047755287;0.00013297556344640292;1;MES;Contrôlé Niveau 1;Correcte;;;;;;;;;;prelevements.csv
2023;OPR0000276770;Rivière Lézarde SARl PETIT MORNE  P3;972;97213;LAMENTIN;13877;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929020713452;0.00013184914983306164;1;MES;Contrôlé Niveau 1;Correcte;;2523;;25230130;;;;;;prelevements.csv
2023;OPR0000276799;Rivière LA DIGUE;972;97225;SAINT-PIERRE;11720;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);4B;Industrie hors agro-alim;CONT;-67.48929195844705;0.00013311940136556674;1;MES;Non qualifié;Correcte;;2001;;20010300;;;;;;prelevements.csv
2023;OPR0000276723;Louison;972;97203;BASSE-POINTE;9483;AEP;EAU POTABLE;5;AEP;SOUT;-61.11736704916713;14.840926344506983;5;MES;Contrôlé Niveau 1;Correcte;1168ZZ0049;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;;prelevements.csv
2023;OPR0000276776;Rivière Lézarde - SARL SOUDON;972;97213;LAMENTIN;7154;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929029839084;0.00013210823119129216;1;MES;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
2023;OPR0000276762;N°19 Retenue Rivière Lorrain - Habitation ASSIER;972;97214;LORRAIN;7021;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929106124018;0.00013382064845081061;1;MES;Contrôlé Niveau 1;Correcte;;2208;;22080120;;;;;;prelevements.csv
2023;OPR0000276798;Rivière LA DIGUE;972;97225;SAINT-PIERRE;6513;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);4B;Industrie hors agro-alim;CONT;-67.48929195844705;0.00013311940136556674;1;MES;Non qualifié;Correcte;;2001;;20010300;;;;;;prelevements.csv
2023;OPR0000276779;Rivière Bochette - UNION SARL;972;97213;LAMENTIN;5752;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929020327321;0.0001319432669494022;1;MES;Contrôlé Niveau 1;Correcte;;2523;;25230130;;;;;;prelevements.csv
2023;OPR0000276822;Rivière Blanche - CHARMINE BANANIERE;972;97224;SAINT-JOSEPH;5184;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929053307162;0.00013235899666504065;1;MES;Contrôlé Niveau 1;Correcte;;2514;;25141080;;;;;;prelevements.csv
2023;OPR0000276791;Source Rivière Roche -EARL LES SERRES DE PREVILLE 07203740;972;97215;MACOUBA;4538;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);SOUT;-67.4892916708457;0.00013390741466798257;1;EST;Contrôlé Niveau 1;Correcte;;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;;prelevements.csv
2023;OPR0000276781;Petite rivière Lézarde - UNION SARL;972;97213;LAMENTIN;4489;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929014928184;0.00013188184505625534;1;MES;Contrôlé Niveau 1;Correcte;;2523;;25330750;;;;;;prelevements.csv
2023;OPR0000276739;Rivière Lézarde - DESIRADE SARL;972;97213;LAMENTIN;4480;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.4892903333757;0.0001321636461881144;1;EST;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
2023;OPR0000604675;Rivière de Sainte Marie - 3 Pointes;972;97228;SAINTE-MARIE;4311;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929061753711;0.00013304444163601522;1;MES;Contrôlé Niveau 1;Correcte;;;;;;;;;;prelevements.csv
2023;OPR0000276775;Rivière du Galion - Banane du Malgre tout Hangar;972;97230;TRINITE;4223;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929011818981;0.0001326703543784929;1;MES;Contrôlé Niveau 1;Correcte;;2224;;22240330;;;;;;prelevements.csv
2023;OPR0000276765;Rivière Saint Pierre - Habitation PERINELLE;972;97225;SAINT-PIERRE;3813;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929196760315;0.00013311545088026767;1;MES;Contrôlé Niveau 1;Correcte;;2001;;20010280;;;;;;prelevements.csv
2023;OPR0000276761;Rivière Lézarde - Habitation BOCHET;972;97213;LAMENTIN;3803;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.4892903333757;0.0001321636461881144;1;MES;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
2023;OPR0000276792;Source Rivière Roche -EARL LES SERRES DE PREVILLE 07751019;972;97215;MACOUBA;3568;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);SOUT;-67.4892916708457;0.00013390741466798257;1;EST;Contrôlé Niveau 1;Correcte;;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;;prelevements.csv
2023;OPR0000276757;Rivière Lézarde N°1;972;97213;LAMENTIN;3262;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929023975424;0.00013203838520835524;1;MES;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
